DATE,SLUEM1524ZSPRK
1991-01-01,4.692
1992-01-01,4.791
1993-01-01,5.082
1994-01-01,5.356
1995-01-01,5.518
1996-01-01,5.713
1997-01-01,6.006
1998-01-01,6.551
1999-01-01,7.037
2000-01-01,7.004
2001-01-01,7.087
2002-01-01,7.015
2003-01-01,7.021
2004-01-01,6.958
2005-01-01,6.908
2006-01-01,6.821
2007-01-01,6.758
2008-01-01,6.639
2009-01-01,6.728
2010-01-01,6.522
2011-01-01,6.709
2012-01-01,6.655
2013-01-01,6.707
2014-01-01,6.68
2015-01-01,6.823
2016-01-01,6.983
2017-01-01,6.836
2018-01-01,6.692
2019-01-01,6.618
2020-01-01,7.43
2021-01-01,7.378
2022-01-01,6.937
