DATE,SPDYNCBRTINPRK
1960-01-01,35.194
1961-01-01,32.654
1962-01-01,34.269
1963-01-01,36.33
1964-01-01,35.561
1965-01-01,35.481
1966-01-01,36.62
1967-01-01,39.24
1968-01-01,36.953
1969-01-01,36.044
1970-01-01,35.036
1971-01-01,33.127
1972-01-01,33.352
1973-01-01,27.959
1974-01-01,25.408
1975-01-01,23.908
1976-01-01,21.641
1977-01-01,20.637
1978-01-01,20.449
1979-01-01,20.664
1980-01-01,20.622
1981-01-01,20.781
1982-01-01,20.536
1983-01-01,20.371
1984-01-01,20.364
1985-01-01,20.425
1986-01-01,20.495
1987-01-01,20.216
1988-01-01,20.255
1989-01-01,20.116
1990-01-01,20.515
1991-01-01,20.833
1992-01-01,20.834
1993-01-01,20.804
1994-01-01,20.661
1995-01-01,20.475
1996-01-01,20.004
1997-01-01,19.188
1998-01-01,18.718
1999-01-01,18.138
2000-01-01,17.44
2001-01-01,16.964
2002-01-01,16.067
2003-01-01,15.283
2004-01-01,15.051
2005-01-01,14.534
2006-01-01,14.207
2007-01-01,13.971
2008-01-01,13.983
2009-01-01,13.723
2010-01-01,12.706
2011-01-01,12.728
2012-01-01,12.957
2013-01-01,13.192
2014-01-01,13.45
2015-01-01,13.536
2016-01-01,13.525
2017-01-01,13.514
2018-01-01,13.488
2019-01-01,13.487
2020-01-01,13.333
2021-01-01,13.24
