DATE,SPDYNIMRTINCHN
1969-01-01,83.1
1970-01-01,79.3
1971-01-01,75.7
1972-01-01,72.1
1973-01-01,68.7
1974-01-01,65.1
1975-01-01,61.5
1976-01-01,58.0
1977-01-01,54.7
1978-01-01,51.7
1979-01-01,49.1
1980-01-01,46.9
1981-01-01,45.1
1982-01-01,43.7
1983-01-01,42.7
1984-01-01,42.1
1985-01-01,41.8
1986-01-01,41.8
1987-01-01,42.1
1988-01-01,42.4
1989-01-01,42.6
1990-01-01,42.7
1991-01-01,42.4
1992-01-01,41.9
1993-01-01,41.0
1994-01-01,39.8
1995-01-01,38.4
1996-01-01,37.0
1997-01-01,35.4
1998-01-01,33.8
1999-01-01,31.9
2000-01-01,30.0
2001-01-01,27.9
2002-01-01,25.7
2003-01-01,23.5
2004-01-01,21.4
2005-01-01,19.5
2006-01-01,17.7
2007-01-01,16.2
2008-01-01,14.8
2009-01-01,13.6
2010-01-01,12.5
2011-01-01,11.5
2012-01-01,10.6
2013-01-01,9.7
2014-01-01,8.9
2015-01-01,8.2
2016-01-01,7.6
2017-01-01,7.0
2018-01-01,6.4
2019-01-01,5.9
2020-01-01,5.5
2021-01-01,5.1
