DATE,SPPOP0014TOZSPRK
1960-01-01,37.8552885781044
1961-01-01,37.4214021465168
1962-01-01,37.0462390516649
1963-01-01,36.9510339103418
1964-01-01,37.0593023739116
1965-01-01,37.1754049650441
1966-01-01,37.7412257082093
1967-01-01,38.7970792268719
1968-01-01,39.6549912231062
1969-01-01,40.1504065494317
1970-01-01,40.4068806583023
1971-01-01,40.543608346205
1972-01-01,40.4413761910479
1973-01-01,39.9647324107316
1974-01-01,39.4209436909193
1975-01-01,38.9158849008554
1976-01-01,38.3568599125104
1977-01-01,37.7169159143236
1978-01-01,36.9113159272347
1979-01-01,36.0457475100981
1980-01-01,35.1877627752915
1981-01-01,34.2713523471977
1982-01-01,33.1955344603972
1983-01-01,32.0657402448613
1984-01-01,31.0095864806344
1985-01-01,29.9947240656859
1986-01-01,29.064683910774
1987-01-01,28.1639928430081
1988-01-01,27.4286991532377
1989-01-01,26.9692598409107
1990-01-01,26.6568462493864
1991-01-01,26.500057410342
1992-01-01,26.4712704403654
1993-01-01,26.4826143864815
1994-01-01,26.4904728744103
1995-01-01,26.4479969019282
1996-01-01,26.3416709237355
1997-01-01,26.197572099076
1998-01-01,26.0275158102743
1999-01-01,25.8305873678152
2000-01-01,25.5897773530298
2001-01-01,25.3061028502174
2002-01-01,24.9867223517419
2003-01-01,24.6503147282555
2004-01-01,24.3166751082407
2005-01-01,23.9525115615621
2006-01-01,23.534649891951
2007-01-01,23.0853431933135
2008-01-01,22.6329554232333
2009-01-01,22.1881943862763
2010-01-01,21.719790206245
2011-01-01,21.2387355049154
2012-01-01,20.8054638884882
2013-01-01,20.4290755804608
2014-01-01,20.1023110163678
2015-01-01,19.8277279509098
2016-01-01,19.5888723935156
2017-01-01,19.3871440285779
2018-01-01,19.2320393482377
2019-01-01,19.1085122384142
2020-01-01,19.0133633880735
2021-01-01,18.9482875517545
2022-01-01,18.8979450307221
